arch,model_size,num_params,N,seed,train_loss_final,val_loss_best,test_loss_final,total_tokens,total_data_bits,total_code_bits,total_mem_bits,bpp,W_rec_fro_norm,steps
GPT,S,181184,65536,0,7.562473386526108,7.635238415527343,7.664052819824219,4194304,46137344.0,45761294.66382043,376049.33617956936,2.07551073041532,,100000
GPT,S,181184,131072,0,7.59412507712841,7.632045343780518,7.643582703399658,8388608,92274688.0,91905644.51771681,369043.4822831899,2.036843663254978,,100000
GPT,S,181184,262144,0,7.6102145165205,7.625103636169434,7.633257782745361,16777216,184549376.0,184200724.36399102,348651.6360089779,1.9242959422961072,,100000
GPT,S,181184,524288,0,7.617892224341631,7.625040065002441,7.628529502105713,33554432,369098752.0,368773117.4474478,325634.5525522232,1.7972588780037047,,100000
GPT,S,181184,1048576,0,7.621606696397066,7.6249058708190915,7.626386561584472,67108864,738197504.0,737905861.2585181,291642.7414819002,1.6096495357310812,,100000
GPT,S,181184,2097152,0,7.623281602747738,7.62485647354126,7.625362188720703,134217728,1476395008.0,1476136043.4279552,258964.5720448494,1.4292905115509615,,100000
GPT,S,181184,4194304,0,7.627005458343774,7.624765632629394,7.627762296295166,268435456,2952790016.0,2953714226.2788715,0.0,0.0,,100000
GPT,S,181184,8388608,0,7.630776431411505,7.624721032714843,7.63099701461792,536870912,5905580032.0,5910349225.81742,0.0,0.0,,100000
GPT,M,658944,65536,0,7.416239500045776,7.631214769744873,7.74631640548706,4194304,46137344.0,44876418.56217559,1260925.4378244132,1.9135547752531523,,100000
GPT,M,658944,131072,0,7.522666484117508,7.626054080200196,7.684969894409179,8388608,92274688.0,91040838.10745953,1233849.8925404698,1.8724654789184965,,100000
GPT,M,658944,262144,0,7.576463237404823,7.625324546051026,7.6514750061035155,16777216,184549376.0,183383794.69035006,1165581.3096499443,1.7688624672960742,,100000
GPT,M,658944,524288,0,7.600769944489002,7.625323040008545,7.63951157989502,33554432,369098752.0,367944248.2099853,1154503.7900146842,1.7520514490073271,,100000
